,state,q_values,importance
163,1146,"[ 1.4659419  -3.0523858  -3.2494955  -2.7877545   1.6697167  -0.484204
  1.3599772   0.31876236 -3.6041558 ]",0.20377479999999992
164,1147,"[ 1.3955296  -2.9934387  -3.139982   -2.719298    1.7673391  -0.4530626
  1.2876021   0.32934657 -3.429443  ]",0.3718095000000001
165,1148,"[ 1.4718676  -3.0831301  -3.234923   -2.7521434   1.8268125  -0.42966872
  1.3877231   0.3745099  -3.4768066 ]",0.3549449
166,1149,"[ 1.6002389  -3.1257935  -3.413299   -2.9084706   1.7156638  -0.42021036
  1.5535105   0.4118597  -3.5767756 ]",0.11542490000000005
167,115,"[ 1.1180042  -2.6815763  -2.3148088  -1.9156401   0.1399418   1.3985336
  0.38205132 -0.9093256  -2.1055095 ]",0.28052940000000004
168,1150,"[ 1.6502477  -3.238462   -3.7272906  -3.1999989   1.840082   -0.5483192
  1.7084035   0.44566315 -3.871825  ]",0.13167850000000003
169,1151,"[ 1.6020212  -3.0194018  -3.488902   -2.9745908   1.7727047  -0.518986
  1.701558    0.44488406 -3.5907178 ]",0.07114670000000012
170,1152,"[ 1.847829  -3.333599  -3.619978  -3.0182943  1.9555134 -0.760288
  1.8217057  0.6068855 -3.8057542]",0.10768440000000012
171,1153,"[ 2.1747358 -3.678566  -3.8242931 -3.187325   2.1965225 -0.7967382
  2.0356214  0.6414583 -4.0140615]",0.021786699999999826
172,1154,"[ 2.2833602  -3.9027305  -3.9411745  -3.3041942   2.2538252  -0.7869008
  2.0584166   0.61002487 -4.161586  ]",0.02953500000000009
173,1155,"[ 2.1310534  -3.6970367  -3.5906744  -3.0667562   1.8158888  -0.41302353
  1.6917732   0.6503072  -3.7893374 ]",0.3151645999999999
174,1156,"[ 2.3255384  -3.8822317  -3.6113815  -3.0915298   1.6840525  -0.43930197
  1.5967379   0.5717387  -3.8747928 ]",0.6414859000000002
